,no,id_numbers,id,tweets,keywords
29,29,"['1664338731354955777', '1664339270306242567', '1664342665503055901']",1.66e+18,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at?â‚¬? https://t.co/OONUrtjJGm",nuclear reactor
30,30,['1664335002761596929'],1.66e+18,"Portable Nuclear Radiation Detector Geiger Counter Marble Personal Radiation Dosimeter Radioactive Ionization Monitor VAR5Q9E

https://t.co/d8Dw03Xq2i https://t.co/gQy4xBGVoJ",nuclear fission
32,32,['1664332621961109516'],1.66e+18,"Geiger Counter Nuclear Radiation Detector Portable Personal Dosimeter Marble Tester X-ray ??-ray ??-ray Detecting XR1 BR-9B ZCEMJTG

https://t.co/sgp8zuTOqB https://t.co/dBxL2wxzyU",nuclear fission
33,33,['1664331457228095492'],1.66e+18,"@MerrillLegacy @MatthewWielicki @dorfman_p What actually happens is that living in Denver or flying exposes a person to far more radiation than does a nuclear power plant. Or, maybe driving on roads where water from fracking is dumped. https://t.co/WcGDt40NE7
https://t.co/T4FQikhb7y",nuclear fission
34,34,['1664330883094945802'],1.66e+18,@VenDetta_9800 @onlydjole your country will survive the nuclear winter radiation and you with it stupid man...the end of the world,nuclear fission
37,37,['1664324912490659842'],1.66e+18,"@ADogInASuit @ConspiracyBull1 @WarClandestine Celebrities and major corporations and a major media talking point is that one shouldnt live inside a nuclear reactor exposed to constant radiation

so do it",nuclear fission
38,38,['1664324266672767056'],1.66e+18,Joshua Luoma was awarded the DOE National Nuclear Security Administration Laboratory Residency Graduate Fellowship for his proposal on structured laser targets for advanced radiation sources.   https://t.co/tZNZfYcXho,nuclear fission
43,43,['1664320340233793536'],1.66e+18,"Today I spoke at the pre-convocation for our @uoftmedicine Medical Radiation Sciences graduates. The 73 grads will work in one of three areas: radiation technology, nuclear medicine, and radiation therapy. This is Shifana Constantine, a student awardee. Congrats to all! https://t.co/QRADlKbYAY",nuclear waste
44,44,['1664319647909396496'],1.66e+18,"""The French detonated 17 nuclear bombs in Algeria beginning in 1960. The impact of that radiation continues today; radioactive dust still emanates from the Sahara, from those nuclear bombs, whose effects are absolutely indelible.""

https://t.co/2iZNmBxw90",nuclear waste
45,45,['1664319347144245270'],1.66e+18,my cat looks like she's been exposed to at least 300 hours of nuclear radiation and then maybe rat poison,nuclear waste
47,47,['1664315635889848329'],1.66e+18,"RT @WINS_org: Almost every industry today uses radiation in some way.  To benefit from these peaceful, productive uses, radioactive sources?â‚¬?",nuclear waste
49,49,['1664313742161592321'],1.66e+18,"RT @JunkScience: If you want to see just how badly you've been lied to about radiation and cancer risk, invest 10 hours to watch this mind-?â‚¬?",nuclear waste
50,50,['1664313620354809873'],1.66e+18,"RT @Cecalli_Helper: ""The nuclear radiation exposed the people of #Balochistan to several chronic diseases.  Many children were born with #d?â‚¬?",nuclear safety
55,55,['1664311870914985986'],1.66e+18,"My dream bf
- 250ft+
- doesn't need income
- Unknown Age
- loves Japan and the ocean
- a bit destructive
- rlly scary &amp; has an ambiguous moral system
- evolved consume nuclear radiation (self made)
- atomic breath
- loves fighting other Kaiju &amp; swimming 
- loves me a LOT https://t.co/z9bZiG6Wme https://t.co/IsfiL84r4z",nuclear safety
56,56,['1664311797908897793'],1.66e+18,@billybreathes @carlosahued @ylecun ?â‚¬?The only reason we won?â‚¬?t let everyone build nuclear reactors is because NukeCorp wants all the profits.?â‚¬? - some guy who died from radiation,nuclear safety
57,57,['1664310170292305925'],1.66e+18,"Oliver Stone?â‚¬?s ?â‚¬?Nuclear Now?â‚¬? documents the safety of neckwear energy. Did you know that no one died in the Fukushima melt down, nor the Three mile island melt down? Minimum radiation too.",nuclear safety
60,60,['1664305306564988928'],1.66e+18,"RT @SergiyKyslytsya: Moscow is preparing a large-scale provocation to create a center of radiation danger, according to @DI_Ukraine  In the?â‚¬?",nulcear fuel
63,63,['1664302613700005893'],1.66e+18,Nuclear radiation in the deep blue sea https://t.co/syCo75f9Ac,nulcear fuel
65,65,['1664300665781334017'],1.66e+18,"@Sarmad2200 Yep, in 1986, one of the reactors at the nuclear power plant at Chernobyl, Ukraine, went out of control during a test at low-power, leading to an explosion and fire that demolished the reactor building and released large amounts of radiation. Watch Chernobyl pls, gorg show!!",nulcear fuel
66,66,['1664300392585330688'],1.66e+18,@davidicke When comes the mRNA vaccine against nuclear radiation? And another one against global warming as well. Maybe they will find 2-3 fool's who are willing to take it ????,nulcear fuel
67,67,['1664299042191429633'],1.66e+18,@HughBramlett Please educate yourself on nuclear winter it has nothing to do with radiation,nulcear fuel
68,68,['1664298837224181760'],1.66e+18,"@MasteroftheTDS didn't they try this with the last airbender movie? THAT was a train wreck

this is more like a train wreck that crashes into a nuclear plant that results in a radiation explosion that results in millions of casualties",nulcear fuel
70,70,['1664296166652084225'],1.66e+18,"RT @TravisVoltaire: ???? ???? ???? Discover Fallout Shelter Options in ""Nuclear War Survival Skills"" by Cresson H. Kearny. From expedient to undergr?â‚¬?",nuclear radiation
73,73,['1664295057640308736'],1.66e+18,"@BenjaminLeder @onlydjole Your ignorance is outstanding, sit there and joke whilst your leaders hide in bunkers and leave you as a sitting duck come the radiation from any spark which leads to a nuclear strike...",nuclear radiation
78,78,['1664290969859117056'],1.66e+18,"RT @cqcqcqdx: The Conelrad system, also known as the Control of Electromagnetic Radiation, was a national emergency system used in the Unit?â‚¬?",nuclear radiation
80,80,['1664288407676231682'],1.66e+18,RT @minigolfgarfiel: so why the hell is this abandoned mall related to some kind of radiation/nuclear situation and why is Showfall Media f?â‚¬?,nuclear radiation
83,83,['1664287606031683584'],1.66e+18,"""The nuclear radiation exposed the people of #Balochistan to several chronic diseases.  Many children were born with #disabilities, and #diseases such as #cancer and skin disorders""   https://t.co/3tgwl1lstG #health #med #humanrights #nonukes",nuclear radiation
84,84,['1664286397124218880'],1.66e+18,"@maddinhh1983 @BosMargit @AndreasThimm @Perowinger94 You are aware that radiation levels around a coal/lignite plant are higher than around a nuclear plant, because of radioactive trace elements (like radium) that are present in the coal and just go up the smoke stack after the coal has been burned?",nuclear radiation
88,88,['1664282716395966474'],1.66e+18,"RT @SusannaLeeRad: Now applications for #CTMW.  Scientists in radiology, radiation oncology, and nuclear medicine seeking guidance on study?â‚¬?",nuclear radiation
95,95,['1664279357609877504'],1.66e+18,"RT @aerospacecap: 3 ??Monitor?? satellites are integrated and are ready for the launch! 

Satellites of the Research Institute of Nuclear Phy?â‚¬?",nuclear radiation
96,96,['1664278709837393921'],1.66e+18,"3 ??Monitor?? satellites are integrated and are ready for the launch! 

Satellites of the Research Institute of Nuclear Physics of Moscow State University will be launched to test the joint work of a group of nanosatellites to observe cosmic flares in X-ray and gamma radiation. https://t.co/zR7HJFV4SI",nuclear radiation
98,98,['1664277979726491654'],1.66e+18,"RT @dan_grey: Japan, like France, has no fossil fuels. It too turned to nuclear, but unlike France, one of their plants exploded. ""Luckily""?â‚¬?",nuclear radiation
99,99,['1664277839687086082'],1.66e+18,"Japan, like France, has no fossil fuels. It too turned to nuclear, but unlike France, one of their plants exploded. ""Luckily"" the radiation went into the Pacific.

Nuclear in Japan is being rehabilitated increasingly quickly, leading to lower LNG demand, pushing gas prices down. https://t.co/QNUkPVSbGw",nuclear radiation
104,104,['1664274840977838083'],1.66e+18,Im hoping he misspoke but Oliver stone who made a nuclear energy documentary just said MRI is one of the most severe radiation you can get on @joerogan,nuclear radiation
106,106,['1664273110403805186'],1.66e+18,"GC01 Nuclear Radiation Detector Geiger Counter Professional Professional X-rays ??-ray ??-ray Detecting Tool Radioactive Tester BFJZ2LC

https://t.co/rCv19yEJJv https://t.co/hZdwF0F0eh",nuclear radiation
108,108,['1664272352258179077'],1.66e+18,"Big Deal Geiger Counter Kit Module Nuclear Radiation Detector With Display Radiation Dosimeter Electromagnetic Radiation Detecto PGN14T1

https://t.co/TF4waTl8BX https://t.co/XHYeBjnvbc",nuclear radiation
113,113,['1664270559683956738'],1.66e+18,"@dorfman_p ""How many people died in the Fukushima nuclear disaster?
One person was confirmed to have died from exposure to radiation as a result of the disaster. A number of people were also confirmed to have died as a result of the (questionable) evacuation from the disaster zone.""",nuclear radiation
114,114,['1664270324060549121'],1.66e+18,RT @FreeBaluchMovt: FBM is organizing a protest at Dam Square in the Netherlands on 28th May at 3 PM to raise awareness about the Pakistani?â‚¬?,nuclear radiation
117,117,['1664267100784054279'],1.66e+18,@Call_Her_BJ @NavyVeteranWife No. I don?â‚¬?t need to hear a woman talk about the power of angels to dispel nuclear radiation. She isn?â‚¬?t grounded in physical consensual reality. Fox platforms her because she makes democrats look loony and detached from reality.,nuclear radiation
118,118,['1664266267895685122'],1.66e+18,RT @minigolfgarfiel: putting this out there before the genloss finale tomorrow: There?â‚¬?s a sign stating they are in a nuclear fallout shelte?â‚¬?,nuclear radiation
120,120,['1664348138637783042'],1.66e+18,"International  Atomic Energy Agency ( IAEA ) (Austria)

Nuclear regulatory Commission ( NRC) (USA)

Radiation Protection Department ( RPD) (Kuwait)",nuclear radiation
121,121,['1664347855899721730'],1.66e+18,@cirnosad Alot of Americans no longer think rationally and honestly believe nuclear blasts and radiation won?â‚¬?t hurt them.,nuclear radiation
123,123,['1664346566188998673'],1.66e+18,"RT @dorfman_p: Nuclear on an earthquake zone ...

Accidents are, by definition, accidental.

Radiation insult causes host of long-term heal?â‚¬?",nuclear radiation
124,124,['1664346209954443264'],1.66e+18,"@GinandJetfuel @JulianMalins @Spriter99880 Once NATO setd up base and signs in Ukraine, Russian threat perception is multifold. As for nuclear...I read on Twitter about radiation from some stocks sent from a friendly European country. ISS that true?",nuclear radiation
125,125,['1664345595950014472'],1.66e+18,RT @SussyMyon: Why does this bird look like it?â‚¬?s about to emit nuclear radiation and throw suns into my face,nuclear radiation
126,126,['1664345298968125451'],1.66e+18,"RT @Marieaaow: @yasminalombaert ?????â‚¬?The bunker should also provide protection against radiation.?â‚¬?
Those filters can?â‚¬?t filter radiation .
So h?â‚¬?",nuclear radiation
127,127,"['1664338731354955777', '1664339270306242567', '1664342665503055901']",1.66e+18,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at?â‚¬? https://t.co/kEXzprmdlZ",nuclear radiation
128,128,['1664342306218975238'],1.66e+18,"RT @LindaL83490762: @alfienoakes63 I think the ""nuclear war is survivable"" meme must have originated in America where war is far away. I ca?â‚¬?",nuclear radiation
129,129,['1664342110479196173'],1.66e+18,"@alfienoakes63 I think the ""nuclear war is survivable"" meme must have originated in America where war is far away. I can't imagine limited nuclear war between 2 nuclear powers. If you launch 1, you might as well launch the lot &amp; I'd rather go straight away than face radiation &amp; nuclear winter.",nuclear radiation
130,130,['1666153383256793088'],1.67e+18,FSB reported on prevented sabotage at two nuclear power facilities - the Leningrad and Kalinin nuclear power plants. The saboteurs planned to undermine power transmission towers. Both are Ukrainian citizens ( 2 other accomplices were also detained). https://t.co/uhlBtUlV1I,nuclear plant
131,131,['1666153288314519588'],1.67e+18,"RT @harryhorrorshow: TONIGHT 8PM EST/ 5PM PST

It?â‚¬?s one of the worst nuclear disasters in history?â‚¬?and a name that sits in infamy?â‚¬?

CHERNOBY?â‚¬?",nuclear plant
132,132,['1666153225966477312'],1.67e+18,"This is a potential humanitarian and environmental crisis on a massive scale - and it will be worse if this impacts the nuclear plants that relies on the reservoir water for cooling.
#Ukraine??? #Russia #War https://t.co/kH5W7rroW3",nuclear plant
133,133,['1666152985179586573'],1.67e+18,@Cognition1986 @bryan_trades @historyinmemes Japan has a lot of nuclear plants though. Also Japan is not densely populated. Only Tokyo and other cities are.,nuclear plant
134,134,['1666152912429383683'],1.67e+18,"RT @FromSteveHowell: Zelensky had better watch his back...

The US is now pointing its finger at Ukraine for the blowing up the Nord Stream?â‚¬?",nuclear plant
135,135,['1666152834495029248'],1.67e+18,@Jerusalem_Post FSB reported on prevented sabotage at two nuclear power facilities - the Leningrad and Kalinin nuclear power plants. The saboteurs planned to undermine power transmission towers. Both are Ukrainian citizens ( 2 other accomplices were also detained). https://t.co/DcjC7mC0BB,nuclear plant
137,137,['1666152830019813377'],1.67e+18,"@spy_hunter_ 'It's safe', let's not play word games. The point is not the frequency of nuclear accidents, it is the unhinged scale of disaster (potentially continent-wide) when things do go wrong, which escalates in probability with every proliferation of plants.",nuclear plant
138,138,['1666152786063392779'],1.67e+18,"RT @Kanthan2030: After losing Bakhmut, Ukraine?â‚¬?s military has no ?â‚¬?spring counteroffensive?â‚¬? that the Western governments promised.

Thus, th?â‚¬?",nuclear plant
139,139,['1666152698582900738'],1.67e+18,RT @GicAriana: Is the West waiting for Russia to blow up nuclear power plants across Ukraine simultaneously before we give Ukraine the gree?â‚¬?,nuclear plant
140,140,['1666153933276839936'],1.67e+18,"@AubreyGilleran @thefactualprep 1) We, mostly Democrats at best reluctant to take advantage of many of our potential energy resources, including nuclear.

2) It?â‚¬?s a global market and energy prices heavily dependent on what happens in the Gulf, even if  we become completely energy independent.",nuclear advantages
141,141,['1666150650928041985'],1.67e+18,"""And way back in March of 2022, I looked at the various ways Russia could use its tactical nuclear weapons in an attempt to win a decisive advantage in Ukraine."" https://t.co/d0Ytp7aEJ0",nuclear advantages
142,142,['1666149766823018510'],1.67e+18,"@BrianJo78940026 @CCRFInc Collecting Craft to reverse engineer. 
Making Alliances with Off and In (under) World Intelligences trading Humans for DNA manipulation and getting advanced technology for a Military Advantage.  
Securing the Fear of our Atomic and Nuclear Weapons against formidable Entities.",nuclear advantages
144,144,['1666142982511132685'],1.67e+18,"Please?â‚¬?everyone in this world know that the nuclear wastewater in Japan cannot be discharged, we know the consequences of doing this. If they take advantage of legal loopholes, then change it!!!!! I know this sounds silly, but we cannot just watch this happen!!!!",nuclear advantages
145,145,['1666142913737158656'],1.67e+18,"Traditional submarines that run on diesel fuel don?â‚¬?t have a long time to spend under water. They can stay submerged for several days at most. But nuclear submarines have a distinct advantage in this department. #submarine #nuclear #tuesdaymotivations

https://t.co/LfYVQuhrCV",nuclear advantages
147,147,['1666125336965263373'],1.67e+18,"RT @djuric_zlatko: The dam exploded...

By whom? 
The Ukrainian side.

Why? 
Because they have an advantage in this situation.

What is it??â‚¬?",nuclear advantages
148,148,['1666120688955011075'],1.67e+18,@Penyrheolgerrig @visegrad24 ...the obvious advantage is to ukraine of this attack on the dam...why would russia put itself in danger from flooding and possible nuclear meltdown?...why?...what do you base your presumption that russia 'did it' on?...i and the world know russia didn't do this or nordstream...,nuclear advantages
204,204,['1666153965481005056'],1.67e+18,"So if you care about climate, the Green Party is ironically the last party you should vote for. Even Tories recognize the need for nuclear. In the UK at least. Did you know that the Finnish Greens have dropped their opposition to nuclear? Be more like the Finnish Greens, Caroline",nuclear climate
209,209,['1666152674201305096'],1.67e+18,"@TheGreenParty If you are serious about climate action, join the #nuclear bandwagon 

https://t.co/aH4Xxiu9uN",nuclear climate
210,210,['1666152592076943360'],1.67e+18,@BDliveSA There?â‚¬?s difference between ?â‚¬?climate change activists?â‚¬? and ?â‚¬?anti-nuclear lobbyists?â‚¬?.,nuclear climate
211,211,['1666152197674135553'],1.67e+18,RT @CustomHester: This is really good journalism by @grist looking at a controversial issue/project from all sides. Shows the pros &amp; cons o?â‚¬?,nuclear climate
214,214,['1666150535542743040'],1.67e+18,"RT @quakes99: China Nuclear Chairman Sees Sevenfold Surge in Capacity????????????????7????????????????????? ""#China is leading a #Nuclear Renaissance???? that has seen?â‚¬?",nuclear climate
217,217,['1666149095654711296'],1.67e+18,@ThuleanGamer We should make nuclear winter to help with climate change,nuclear climate
218,218,['1666149087622701056'],1.67e+18,"Well said @carla_denyer ""#renewables is simply the way forward. Nuclear is not going to help us out in this climate emergency...the trouble with nuclear energy is that it's incredibly slow &amp; incredibly expensive....""
#SayNo2SizewellC https://t.co/5mDt0YkqFU",nuclear climate
220,220,['1666148780222054412'],1.67e+18,"@JohnMcC61971366 @SabbySabs2 Climate change is equally as important as nuclear war. They are on par.

Again, that was just your one opinion on the Greens.",nuclear climate
221,221,['1666148745593880583'],1.67e+18,"RT @LouisvilleGun: You don't actually care about the climate with your ""green energy"" if you aren't promoting nuclear power. https://t.co/l?â‚¬?",nuclear climate
226,226,['1666145591074627586'],1.67e+18,"@ScottAdamsSays @whitewalker420 His response to nuclear energy is terrible. The same problem with climate extremism is the same problem with the vaccine. ONE DICTATED SOLUTION is not the answer. We need ""all of the above"" solutions.",nuclear climate
228,228,['1666143671731863552'],1.67e+18,Hey @AlboMP: thanks for committing to support climate-vulnerable countries. Will you put those words into action at the June Paris Summit? Australia's fair share of the $100bn climate pledge is equal to just one nuclear submarine. Your action is needed to #PowerOurPlanet!,nuclear climate
229,229,['1666143286346629122'],1.67e+18,"@regisg @45BillionCrypto @StakeWithPride On a long time horizon yes, climate change will affect significantly water availability. This is why we need to innovate fast. Cutting oil before we?â‚¬?re ready will ensure we never get there.

I?â‚¬?d love to see a net creation of new nuclear plants, not empty promises.",nuclear climate
231,231,['1666142195470958598'],1.67e+18,"RT @brithume: Quote: ""Nu??clear weapons, climate change, pan??demics, and now AI?â‚¬?the reme??dies are al??ways, strik??ingly, the same: more gov??e?â‚¬?",nuclear climate
232,232,['1666142097856921610'],1.67e+18,"@TonyClimate True, RFK jr. is a good man, IMO, but he is anti-nuclear, believes that wind and solar will provide all the energy we need, and that climate change is a major crisis.",nuclear climate
234,234,['1666141776799776770'],1.67e+18,"Climate change? Time to get serious about nuclear, thorium, and solar, and phase out CO2 emissions. Arsons? Public execution (sorry)",nuclear climate
239,239,['1666140183811457053'],1.67e+18,"RT @dorfman_p: Nuclear power?â‚¬?s baseload concept ?â‚¬?a load of cobblers?â‚¬?. 

#nuclear #nuclearenergy #ClimateScam #climate 
https://t.co/Vezqbhl?â‚¬?",nuclear climate
242,242,['1666139414525800449'],1.67e+18,"RT @dorfman_p: Nuclear: 'lying is the new black.'

#nuclear #climate #ClimateScam  https://t.co/6cGuh9lItM via @BeyondNukesInt",nuclear climate
243,243,['1666139305167683597'],1.67e+18,"@lesiavasylenko While Russia committed war crimes, I'm not sure destroying a dam will lead to rising temperatures and climate change itself, unless the Zaporizhzhia Nuclear Plant is impacted",nuclear climate
244,244,['1666139141937954817'],1.67e+18,"@GretaThunberg Hey, how do you think, the dam disruption in Ukraine caused by Russia today, will it affect climate? Russia left big nuclear power plant  without cooling.
#RussiaIsATerroristState 

https://t.co/ER6KcTXQCi",nuclear climate
246,246,['1666138669688684558'],1.67e+18,"RT @dorfman_p: UK Govt says renewables ?â‚¬?cannot ensure security of supply?â‚¬? ?â‚¬? they're wrong ! 

#Renewables #solar #windpower #energy #nuclea?â‚¬?",nuclear climate
247,247,['1666138572884148246'],1.67e+18,"Greens are weird, aren't they?

In the battle against fossil fuel interests and climate denialism, their chosen battle is - and has been for decades - against nuclear.

Germany - no nuclear, but really high emissions.

France - loads of nuclear, and much lower emissions.

?????â‚¬???????",nuclear climate
248,248,['1666155893291991040'],1.67e+18,"@nickhedley Nick the renewable ambassador, UN should hire Nick for this course is very passionate and he hates coal and nuclear.",nuclear renewables
250,250,['1666155308673122305'],1.67e+18,"Might be time to consider moving towards Renewable?â‚¬?s.????????????

Wind Solar Water WSW and Storage which doesn?â‚¬?t create 

?????? Nuclear Waste which is the ultimate pollution.?????? https://t.co/evYMiM7XLe",nuclear renewables
252,252,['1666154268553015297'],1.67e+18,"@itslukechen @historyinmemes They take quite a bit of oil/gas, they use wind which is a renewable energy but they aren?â‚¬?t as good as something like hydroelectricity or Nuclear energy",nuclear renewables
254,254,['1666150555771600900'],1.67e+18,"@dankguyjeff @TypeForVictory How is 'order it 10 years ago' 'ready to go', but somehow nuclear takes.too long to be an option? Also I'm pretty sure your numbers are wrong but if not then installing enough renewable to provide for less than 1% of the UK's electricity demand isn't very impressive.",nuclear renewables
255,255,['1666150080666009606'],1.67e+18,"RT @realKunalAShah: @Jkylebass You can also see the surreal expansion in nuclear, and renewable capacity - it?â‚¬?s unprecedented and it?â‚¬?s all?â‚¬?",nuclear renewables
256,256,['1666149812318634005'],1.67e+18,"???????????????????????? ""Germany leads an 11-EU member states statement saying that the Swedish EU presidency should stop listening to France, who is blocking the renewable energy directive due to the absence of support for nuclear energy in it."" @POLITICOEurope",nuclear renewables
258,258,['1666146784257744900'],1.67e+18,"@pwrhungry You are very optimistic. When Sec. Granholm was Gov. Granholm, she proposed and signed the Michigan Renewable Portfolio Standard that wound up closing the Palisades Nuclear Plant. She ignored pleas to keep it open, allowed it to close and then ?????â‚¬??????? at energy price spikes. 

She?â‚¬? https://t.co/vg1PRms3w4",nuclear renewables
264,264,['1666142082644287488'],1.67e+18,"@breadandposes Again, I'm not really interested in the nuclear v. renewable 'debate' but this seems like an odd argument when one of the few positive trends at the moment is the incredibly fast growth of renewables https://t.co/5BaGrzhWy0",nuclear renewables
265,265,['1666141609224708098'],1.67e+18,"RT @SiOldridge: @dorfman_p Yes, baseload is just completely the wrong concept. The science shows we can get to a 100% renewable power syste?â‚¬?",nuclear renewables
266,266,['1666140879503884313'],1.67e+18,@TheRapistGroper Environmentalists will sooner create renewable rupe goldberg machines than acknowledge nuclear energy as a renewable energy source,nuclear renewables
269,269,['1666138892360138752'],1.67e+18,"@AlexEpstein The irony!  What did Texas, an oil &amp; gas rich state, invest in to expand their electricity grid?  More fossil fuel power plants?  More nuclear plants?  Nope.  Wind and solar power, because it's cheaper!

https://t.co/S3mLOTfSLv

https://t.co/hQufmWkfJN

https://t.co/KcagpgDuvM",nuclear renewables
270,270,['1666136336871436296'],1.67e+18,"@acranberg @bmbrigham @AlexEpstein @heik_energy Plus, wind and solar power supported the Texas ERCOT grid during a recent Global Warming Driven heat wave that swamped existing fossil fuel &amp; nuclear power suppliers!

https://t.co/mn2049vLiM",nuclear renewables
272,272,['1666134328194084885'],1.67e+18,"5. The financial and technological resources allocated to nuclear weapons could be better utilized to address urgent global issues such as poverty, hunger, access to clean water, and renewable energy.",nuclear renewables
273,273,['1666133636284919818'],1.67e+18,"@nickhedley The day that these incompetent assholes stop trying to cut a personal deal for every single power deal, is the day that renewable energy will see the light of day. There is no problem using a mix of all types of power, because sun, wind, water and Nuclear have benefits.",nuclear renewables
277,277,['1666126202904408064'],1.67e+18,@Keir_Starmer Nuclear power is not renewable and the waste is dangerous for thousands of years.,nuclear renewables
